Date,Close,High,Low,Open,Volume
2014-01-01,52.5957,52.5957,52.5957,52.5957,0
2014-01-02,51.8314,52.5114,51.5429,52.4029,12333979
2014-01-03,51.8714,52.4956,51.8429,52.0,10818885
2014-01-06,51.3671,52.0443,50.4757,51.89,15503915
2014-01-07,48.5,49.6986,48.1529,49.5886,36210153
2014-01-08,48.7129,49.4257,48.0743,48.1043,20018985
2014-01-09,48.15,49.14,47.8571,48.8243,17017301
2014-01-10,47.4486,48.3767,47.2186,48.2957,16249758
2014-01-13,48.1157,49.81,47.3043,47.3043,27247857
2014-01-14,48.28,48.8,47.51,48.7771,19770296
2014-01-15,47.1971,48.3671,45.5814,47.8571,40479404
2014-01-16,47.3829,47.6957,46.0029,46.8929,21139797
2014-01-17,47.1486,47.8314,46.8914,47.4386,16434446
2014-01-20,47.1486,47.1486,47.1486,47.1486,0
2014-01-21,46.9586,47.4961,45.75,47.4614,25240754
2014-01-22,47.6757,47.777,46.7644,47.0714,49331009
2014-01-23,55.5314,56.5186,53.9271,55.2986,91360052
2014-01-24,55.1543,55.8143,54.7686,54.8114,35713125
2014-01-27,54.4614,55.9286,52.9371,55.3414,32589193
2014-01-28,58.11,58.2014,54.3943,54.4743,43746773
2014-01-29,57.2029,58.1914,56.8643,57.5729,29026893
2014-01-30,57.81,58.4557,57.3586,58.1429,18408341
2014-01-31,58.4757,58.9143,57.4714,57.4714,23646686
2014-02-03,57.7686,58.8786,57.245,58.7429,20153441
2014-02-04,57.9871,58.3614,56.7157,57.9214,18101433
2014-02-05,57.7743,58.25,56.8571,57.5929,16782612
2014-02-06,58.2729,58.7014,57.2029,58.06,12906831
2014-02-07,61.4257,61.5,58.6514,59.0714,33050829
2014-02-10,61.4914,61.7671,60.6114,61.3471,13848555
2014-02-11,61.9986,62.2512,60.7871,61.4229,13666310
2014-02-12,61.2757,62.1286,60.7914,62.1114,15682919
2014-02-13,62.3643,62.7843,60.7144,60.8129,18723075
2014-02-14,62.2157,62.5286,61.67,62.4371,12087859
2014-02-17,62.2157,62.2157,62.2157,62.2157,0
2014-02-18,62.4071,63.0349,61.1429,62.4229,15518349
2014-02-19,61.1757,62.3214,61.1386,61.5329,16050517
2014-02-20,62.1357,62.5386,61.3086,61.4786,12013281
2014-02-21,61.7471,62.6714,61.3788,62.6714,13523055
2014-02-24,63.8571,64.2414,61.2143,62.1429,26097533
2014-02-25,64.7186,65.3986,63.5714,64.2857,18736487
2014-02-26,64.1129,65.1429,63.7143,65.1286,15018031
2014-02-27,64.6043,64.8752,63.9771,63.9771,10326036
2014-02-28,63.6614,64.8857,63.0,64.7329,15774983
2014-03-03,63.6557,63.6786,62.5857,62.9443,13538077
2014-03-04,64.9971,65.0,63.6557,64.38,12405561
2014-03-05,64.7857,65.2629,64.5586,64.8586,10881465
2014-03-06,64.3586,65.4286,64.1411,64.9914,11824344
2014-03-07,64.0529,64.9343,63.6443,64.9257,11574437
